date,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,hosp_patients,icu_patients,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,mortality_rate,case_fatality_rate,vaccination_rate
2021-11-19,Asia,India,6423388,2490,107051,323,60016385,7386,0.904376834,128.313402,55863236,35276326,27381132,12571,19642,1.632946686,69.25933111,1241418161,67.3947016,49.88375059,8.649394523,16.05206333,44313.19995,20.82728617,177.8326547,16.29647406,0.016665815610079914,0.12971887550200803,0.028416151066763717
2021-09-12,North America,Russia,6550634,6980,481184,697,28666409,6862,0.525849636,335.5450872,63799592,67830632,12527528,82753,2713,0.538894875,7.18528735,114516392,694.409929,30.12682341,8.957853835,4.423022089,8196.945011,20.47857901,470.9914199,8.579170088,0.07345609600536375,0.0998567335243553,0.5923224685597849
2020-04-20,Europe,Canada,4304572,9134,15116,325,80352550,40108,0.791575096,478.9562754,68770121,68985000,41476316,48225,8595,0.971604568,14.82324631,1152898402,784.4647293,22.64806311,9.336778309,18.77637155,52607.00006,11.92466378,415.8809079,14.98978915,0.0035116150920463172,0.035581344427414056,0.05983614851085551
2022-10-16,Asia,Germany,2234489,7661,20045,624,89212990,91788,0.11529126,384.8184834,97546509,17081923,68932763,7227,13779,2.107027885,70.00750199,1342525124,403.467508,42.95110895,5.32189423,10.52651958,23297.98504,4.591400479,643.5104444,18.08409591,0.008970731115704754,0.08145150763607883,0.012723726874551958
2021-05-15,Europe,USA,9958614,1724,419543,824,5364240,75023,0.927642706,302.0089983,31976637,52813396,488830,41189,12164,0.984973386,28.97233412,744943966,182.8696915,26.41473134,19.3217607,15.88917285,56126.82889,5.431329631,451.8467897,5.971408655,0.04212865364597925,0.4779582366589327,0.07089579674506687
2022-02-24,North America,Germany,9524682,8182,35709,164,67769161,80140,0.821142091,495.3140541,19174474,67878019,66479423,14207,1546,1.960580394,21.04334013,306169513,38.53019139,35.98080079,12.99204685,5.133578133,42927.214,29.95943491,436.8135173,5.587740847,0.0037491015448074803,0.02004399902224395,0.22170077724231152
2022-09-17,Europe,France,7204212,2767,305761,572,50107235,82963,0.224764145,132.6633337,94541485,31644235,29921810,78208,2606,0.86926853,80.15261376,41073572,640.8731435,22.8740455,5.453426638,18.75062614,22879.31281,19.84175258,603.6436848,7.853025173,0.04244197699901114,0.2067220816769064,0.7704281234658626
2022-08-11,Europe,France,9628519,1137,453355,603,97474358,27201,0.874182233,31.17074395,20951549,42834681,44249112,53406,19209,1.712735116,94.62468642,133425735,276.3034726,38.57851582,12.40015089,3.574750107,25584.21426,45.1227694,568.0115231,8.950388712,0.04708460356156539,0.5303430079155673,0.3210376244133113
2020-01-26,Europe,Canada,4472471,4117,157977,797,6986481,68578,0.263442759,16.06543306,47045186,3273438,6187941,41783,4206,1.756422733,23.23806485,907512133,469.2506913,48.32022212,23.10736254,3.716331732,51474.00851,23.18683552,794.298065,3.109843051,0.03532208481620116,0.19358756376001943,0.0036070459897641943
2020-05-02,Europe,Brazil,4523669,3420,457364,454,74336324,49966,0.205339879,355.3439398,23487580,44909086,6698725,85587,3374,2.003932451,31.71959562,862953579,392.4919664,41.68114138,15.22488634,3.927958264,38954.09274,25.17457879,346.3668905,5.394491159,0.10110465641937993,0.1327485380116959,0.05204113766124145
